sample,patient,treatment,Immune,Mixed,Stroma
0,P1,post,,,
0,P1,pre,0.2469879518072289,0.2996987951807229,0.45331325301204817
0,P2,post,,,
0,P2,pre,,,
0,P3,post,,,
0,P3,pre,,,
0,P4,post,,,
0,P4,pre,,,
0,P5,post,,,
0,P5,pre,,,
0,P6,post,,,
0,P6,pre,,,
1,P1,post,0.6218331616889804,0.22389289392378992,0.15427394438722966
1,P1,pre,,,
1,P2,post,,,
1,P2,pre,,,
1,P3,post,,,
1,P3,pre,,,
1,P4,post,,,
1,P4,pre,,,
1,P5,post,,,
1,P5,pre,,,
1,P6,post,,,
1,P6,pre,,,
2,P1,post,,,
2,P1,pre,,,
2,P2,post,,,
2,P2,pre,0.37083534524384354,0.30275229357798167,0.3264123611781748
2,P3,post,,,
2,P3,pre,,,
2,P4,post,,,
2,P4,pre,,,
2,P5,post,,,
2,P5,pre,,,
2,P6,post,,,
2,P6,pre,,,
3,P1,post,,,
3,P1,pre,,,
3,P2,post,0.4440219687367976,0.34600760456273766,0.20997042670046473
3,P2,pre,,,
3,P3,post,,,
3,P3,pre,,,
3,P4,post,,,
3,P4,pre,,,
3,P5,post,,,
3,P5,pre,,,
3,P6,post,,,
3,P6,pre,,,
4,P1,post,,,
4,P1,pre,,,
4,P2,post,,,
4,P2,pre,,,
4,P3,post,,,
4,P3,pre,0.3133971291866029,0.25598086124401914,0.430622009569378
4,P4,post,,,
4,P4,pre,,,
4,P5,post,,,
4,P5,pre,,,
4,P6,post,,,
4,P6,pre,,,
5,P1,post,,,
5,P1,pre,,,
5,P2,post,,,
5,P2,pre,,,
5,P3,post,0.5003344481605351,0.2938684503901895,0.20579710144927535
5,P3,pre,,,
5,P4,post,,,
5,P4,pre,,,
5,P5,post,,,
5,P5,pre,,,
5,P6,post,,,
5,P6,pre,,,
6,P1,post,,,
6,P1,pre,,,
6,P2,post,,,
6,P2,pre,,,
6,P3,post,,,
6,P3,pre,,,
6,P4,post,,,
6,P4,pre,0.32323232323232326,0.2741702741702742,0.4025974025974026
6,P5,post,,,
6,P5,pre,,,
6,P6,post,,,
6,P6,pre,,,
7,P1,post,,,
7,P1,pre,,,
7,P2,post,,,
7,P2,pre,,,
7,P3,post,,,
7,P3,pre,,,
7,P4,post,0.1453549610280177,0.4017274067832315,0.4529176321887508
7,P4,pre,,,
7,P5,post,,,
7,P5,pre,,,
7,P6,post,,,
7,P6,pre,,,
8,P1,post,,,
8,P1,pre,,,
8,P2,post,,,
8,P2,pre,,,
8,P3,post,,,
8,P3,pre,,,
8,P4,post,0.2111969111969112,0.28378378378378377,0.505019305019305
8,P4,pre,,,
8,P5,post,,,
8,P5,pre,,,
8,P6,post,,,
8,P6,pre,,,
9,P1,post,,,
9,P1,pre,,,
9,P2,post,,,
9,P2,pre,,,
9,P3,post,,,
9,P3,pre,,,
9,P4,post,,,
9,P4,pre,,,
9,P5,post,,,
9,P5,pre,0.36495726495726494,0.2076923076923077,0.42735042735042733
9,P6,post,,,
9,P6,pre,,,
10,P1,post,,,
10,P1,pre,,,
10,P2,post,,,
10,P2,pre,,,
10,P3,post,,,
10,P3,pre,,,
10,P4,post,,,
10,P4,pre,,,
10,P5,post,0.24124513618677043,0.3710394663702057,0.3877153974430239
10,P5,pre,,,
10,P6,post,,,
10,P6,pre,,,
11,P1,post,,,
11,P1,pre,,,
11,P2,post,,,
11,P2,pre,,,
11,P3,post,,,
11,P3,pre,,,
11,P4,post,,,
11,P4,pre,,,
11,P5,post,0.22242689385217593,0.34331107529357585,0.4342620308542482
11,P5,pre,,,
11,P6,post,,,
11,P6,pre,,,
12,P1,post,,,
12,P1,pre,,,
12,P2,post,,,
12,P2,pre,,,
12,P3,post,,,
12,P3,pre,,,
12,P4,post,,,
12,P4,pre,,,
12,P5,post,,,
12,P5,pre,,,
12,P6,post,,,
12,P6,pre,0.3707482993197279,0.36394557823129253,0.2653061224489796
13,P1,post,,,
13,P1,pre,,,
13,P2,post,,,
13,P2,pre,,,
13,P3,post,,,
13,P3,pre,,,
13,P4,post,,,
13,P4,pre,,,
13,P5,post,,,
13,P5,pre,,,
13,P6,post,0.34934955937893414,0.31095258078052873,0.33969785984053713
13,P6,pre,,,
