gene,mean,median,I_Q25,count
IGKC,0.4961977243625227,0.4620575826651799,0.41320146094253213,14
COL1A1,0.4870268857370248,0.4850707066244907,0.3609540548377396,14
COL3A1,0.4691105192542552,0.45469015237963106,0.35420938738119945,14
COL1A2,0.44053891799907147,0.4462186994421036,0.32877430157121296,14
MUC1,0.3801369269568315,0.44405392333531446,0.250043907860801,14
SCGB2A2,0.3677261014318069,0.3254489573229783,0.20948683790862738,14
XBP1,0.365937085080247,0.3868910668367571,0.32869880111022604,14
FABP4,0.36586369733306146,0.24456231044362262,0.20243873390480252,14
MGP,0.36461207765637277,0.3581753763851167,0.24576207894154511,14
FN1,0.36345986860245455,0.3602016262282457,0.2740813749330646,14
MLPH,0.3595399390312602,0.39098190930394655,0.3156047602908004,14
AZGP1,0.35115029457303704,0.34636087335681714,0.2394181856602831,14
LTF,0.3509361694200295,0.2902789023606055,0.21115666125649007,14
POSTN,0.3495751209611191,0.34270398245645073,0.20918219570790203,14
ANKRD30A,0.34764731757987827,0.3152707662998909,0.17005020782204883,14
TRPS1,0.34422376239394653,0.37951915316528306,0.21913777412358035,14
SPP1,0.33110328931412075,0.2882515988098637,0.16888254300819738,14
IGHA1,0.32977574422117456,0.3617749411483283,0.2213145247724942,14
JCHAIN,0.32495715191857205,0.27984478560012593,0.20106240070358838,14
SCGB1D2,0.3162738551190774,0.2375745380853701,0.16472055483674208,14
IGHG1,0.31530263024212773,0.25850029617770265,0.14847064015829706,14
SPARC,0.31128250829964094,0.2938371410479854,0.21494331777950526,14
IGHM,0.31066121620659193,0.29141950266988503,0.21679673539670463,14
WFDC2,0.30866721876960107,0.29832260642316516,0.18026887123173793,14
ELF3,0.3048336171289687,0.342916456337587,0.181511464352981,14
ZNF552,0.30446863493254694,0.30447810091284266,0.20831607971747096,14
KRT19,0.3042307691967466,0.33427937554334664,0.17220689157152097,14
TFF1,0.30092704559102124,0.2829500138527762,0.1704313542472386,14
SLC39A6,0.3001665967612133,0.30135563753797967,0.20361400905693175,14
STC2,0.29870180923143824,0.294348788504825,0.22611631700563406,14
TACSTD2,0.2951414222022897,0.29180789245207295,0.25580129957260017,14
DCN,0.28678155554179696,0.24228100854115783,0.16882441073120927,14
MUCL1,0.2853631356522901,0.29740258276906767,0.06788653225524831,14
TFF3,0.28468665621014494,0.27394462775878026,0.18436205168670775,14
LUM,0.28317238619983903,0.3127318103343464,0.1513448156160106,14
IGLC1,0.27969898121608655,0.2652022996895127,0.12902992263092178,14
AGR3,0.2793199423006027,0.27162317029162086,0.16029596742945812,14
DSP,0.2789205933018302,0.22702499828047046,0.192789884438405,14
PATJ,0.27648038233094113,0.23179609894732228,0.1497195596330243,14
GATA3,0.27405276426540137,0.2650402467074944,0.13506970974033206,14
TOB1,0.26689041589398627,0.2617221085605841,0.160206275485624,14
EVL,0.26568619459702697,0.2513553870399257,0.15377283324067245,14
IGHG3,0.26289495841120064,0.23969879982141434,0.1159414312541578,14
KRT15,0.2567747335174605,0.2586822596898879,0.021923040390976478,14
PIP,0.25343229371856174,0.28882635096065645,0.07633540326831416,14
CA12,0.25334308222635277,0.2476901999981009,0.12819112774923616,14
SFRP2,0.252362172810864,0.2340100300535142,0.1473017643086441,14
FXYD3,0.25195340338853284,0.23829919410525705,0.11318923814438013,14
VIM,0.2508714906760648,0.21051159045981366,0.15904859198730298,14
KIAA1324,0.2503459149903124,0.2424657931189455,0.15067063638753794,14
FTL,0.24654121560498934,0.2818583864897486,0.1253205310568272,14
KRT8,0.24142618152607379,0.20140323849297315,0.12104843232529984,14
LYZ,0.24117067390261568,0.21052777856482202,0.11973767075840965,14
MT-CO3,0.23717299996776173,0.18973364909176993,0.1240105740076699,14
MAGED2,0.23581211764363158,0.22068418324661707,0.1383942979777709,14
COL6A3,0.23464641715923046,0.2185821044021653,0.16652308725495069,14
CRIP1,0.23377335435486388,0.20627338886073981,0.15460988496002592,14
CTHRC1,0.23361208882636572,0.20578255079979924,0.11378900015029302,14
SFRP4,0.23252103823101386,0.19573531296880192,0.14353897963727008,14
AGR2,0.23013061533294496,0.17667517691829893,0.0798650097920566,14
MMP2,0.22950510115860806,0.22202092350085728,0.10387095467839828,14
ASPN,0.22877893191686566,0.2449257582475373,0.10988738278617487,14
CD74,0.22816247221739341,0.19346308973104043,0.1357017220017108,14
SCUBE2,0.2280320781908942,0.18869095425149407,0.12584805186171158,14
SERPINA3,0.22649720423189526,0.20395984644287163,0.14937180752153015,14
CRABP2,0.2254542585933778,0.214232765004367,0.14772847221392266,14
GRIA2,0.22406468915034802,0.13686255551786142,,12
MT-ATP6,0.22324395595215366,0.1356726496147045,0.10918844050197658,14
MYO6,0.2215142440967954,0.21841015856245125,0.1509983487632922,14
VCAN,0.22142206733965436,0.18586220993899805,0.11264643874534484,14
CTSB,0.2210993749713707,0.2013403918913553,0.1132953505644741,14
NPNT,0.22065364391795508,0.1795794472192321,0.10143425193415699,14
NEK10,0.21909581042036289,0.2003917160652589,0.11478712961208457,14
SPINT2,0.2182316473396492,0.22895338056216213,0.16148137687436184,14
KRT14,0.2160598178322335,0.2321993518575792,,13
KRT17,0.2150416157689408,0.2086140076414007,0.11257988939336082,14
MT-CYB,0.21286281790829248,0.17719679284292125,0.0933844911553739,14
SLC9A3R1,0.21146909168412145,0.1655186886286767,0.0719198546867997,14
BMPR1B,0.2099733261168933,0.14304045731031953,0.0075152686257514995,14
FOXA1,0.20802355046669102,0.24445124240403798,0.07246497813091773,14
SLC40A1,0.20702325098906632,0.20286168793515374,0.08952870686289027,14
CCDC80,0.20587407093514512,0.15637630334204836,0.11252452591038813,14
APOE,0.20579085660019225,0.16735438881357484,0.09547298975095939,14
C3,0.20462695062951033,0.15141372333060726,0.10901021621246301,14
CTSK,0.20402961354624827,0.1647823802848467,0.11285482078210089,14
NTN4,0.20292719605518358,0.1810054937308932,0.08366312348982224,14
CCN2,0.20207347034800566,0.2005365595664994,0.142705457918781,14
CD9,0.20118740053111708,0.21106457820680208,0.09216835477142872,14
SHROOM1,0.20083847899613658,0.13806701402595056,0.08325775382219389,14
MT-ND4,0.19985606338218884,0.1571534428380167,0.0804370597565924,14
KIF12,0.19936996875634333,0.17449487914255296,0.10879124167415688,14
MT-ND4L,0.19920615765574867,0.16738345733533172,0.07941854303030628,14
PARD6B,0.1991352953461802,0.15238465057067854,0.041756362337716846,14
ESR1,0.19887424000965057,0.18583277746373797,0.08035972204340516,14
CLEC3A,0.19848251244805185,0.10069759604361445,-0.000765401507530573,14
BHLHE40,0.198067292088767,0.19952208888114553,0.15125319327113385,14
CD36,0.19769919487713186,0.20927412239246315,0.09781951287864744,14
COL5A1,0.19761862376147474,0.18684151990297043,0.10779760745170494,14
STARD10,0.19550997863799677,0.14956983050444586,0.07573438664309383,14
TIMP1,0.19474393573977428,0.19607682444512758,0.12255673117353583,14
CXCL14,0.19280625351646571,0.1231655272620969,0.07258240174036658,14
LPL,0.19279457495009994,0.18599744167535506,0.049314148833373844,14
COMP,0.19126022578181584,0.15695637493214704,0.06701161366818773,14
COL6A2,0.1905632779376487,0.17737027811833747,0.12034072214917571,14
TTC6,0.1901821008286139,0.1662494768034089,0.07942420707170053,14
MT-CO2,0.18977715291361652,0.13819824041447085,0.08111129389146529,14
COL5A2,0.18971871403137391,0.1669646142335252,0.09927101308380379,14
COL6A1,0.18859581388563282,0.16245134259939428,0.13686266535074643,14
MT-ND2,0.18804546057350843,0.14442581544353555,0.10962929137327247,14
PLIN1,0.18598266080312234,0.167652436296076,0.04436127582617092,14
APOD,0.18450154441337682,0.20690094074245674,0.11874609065143467,14
BTG2,0.18429026695930975,0.17967675531096625,0.15288905823094606,14
AEBP1,0.18310897660945735,0.11654446263990424,0.08926196180180115,14
TPM1,0.18222002293411949,0.20382893125729742,0.13418723851962913,14
GFRA1,0.18216829160649942,0.12870049656915006,0.06635998710005761,14
