sample,lineage,r
HCC22-088-P1-S1,T_cells,-0.09714390770867479
HCC22-088-P1-S1,B_cells,-0.025063297587083953
HCC22-088-P1-S1,myeloid,-0.02026190328449911
HCC22-088-P1-S1,fibroblast,0.048583445775655036
HCC22-088-P1-S1,endothelial,0.04053493099314154
HCC22-088-P1-S1,epithelial_tumour,0.2147309381939409
HCC22-088-P1-S2,T_cells,-0.03898042277645839
HCC22-088-P1-S2,B_cells,-0.0032305785481596514
HCC22-088-P1-S2,myeloid,0.10925422616607362
HCC22-088-P1-S2,fibroblast,0.19373162012560702
HCC22-088-P1-S2,endothelial,-0.024151218295208367
HCC22-088-P1-S2,epithelial_tumour,0.09950498092751935
HCC22-088-P2-S1,T_cells,-0.0177789796675839
HCC22-088-P2-S1,B_cells,-0.05242841516148522
HCC22-088-P2-S1,myeloid,0.1440102606959766
HCC22-088-P2-S1,fibroblast,0.04012195091612301
HCC22-088-P2-S1,endothelial,-0.027143601039546723
HCC22-088-P2-S1,epithelial_tumour,0.4790867982778109
HCC22-088-P2-S2,T_cells,0.025591908940633283
HCC22-088-P2-S2,B_cells,-0.03184538256870383
HCC22-088-P2-S2,myeloid,0.2347498320064372
HCC22-088-P2-S2,fibroblast,0.1262381273188374
HCC22-088-P2-S2,endothelial,-0.03803433902512911
HCC22-088-P2-S2,epithelial_tumour,0.5479928660981691
HCC22-088-P3-S1_A,T_cells,-0.10214458470808453
HCC22-088-P3-S1_A,B_cells,0.15254924340935366
HCC22-088-P3-S1_A,myeloid,-0.13648530251967822
HCC22-088-P3-S1_A,fibroblast,-0.007755268398951256
HCC22-088-P3-S1_A,endothelial,0.23659476027256088
HCC22-088-P3-S1_A,epithelial_tumour,0.46227912602995763
HCC22-088-P3-S2,T_cells,-0.007154741751053591
HCC22-088-P3-S2,B_cells,0.04143354521654449
HCC22-088-P3-S2,myeloid,0.02876452772703211
HCC22-088-P3-S2,fibroblast,0.057703492393348974
HCC22-088-P3-S2,endothelial,0.045566617106100944
HCC22-088-P3-S2,epithelial_tumour,0.47818678314264274
HCC22-088-P4-S1,T_cells,0.1069599238368841
HCC22-088-P4-S1,B_cells,-0.06309453195700697
HCC22-088-P4-S1,myeloid,0.043473691512671636
HCC22-088-P4-S1,fibroblast,-0.0999957169057214
HCC22-088-P4-S1,endothelial,0.04951831958093506
HCC22-088-P4-S1,epithelial_tumour,0.23336816064507723
HCC22-088-P4-S2,T_cells,0.06550734108565266
HCC22-088-P4-S2,B_cells,-0.03542390782685957
HCC22-088-P4-S2,myeloid,0.0828007956458777
HCC22-088-P4-S2,fibroblast,0.040230202605401034
HCC22-088-P4-S2,endothelial,-0.029645858588805796
HCC22-088-P4-S2,epithelial_tumour,0.4025189176178509
HCC22-088-P4-S2_1i_rep,T_cells,0.038757597095100606
HCC22-088-P4-S2_1i_rep,B_cells,-0.02193060744879532
HCC22-088-P4-S2_1i_rep,myeloid,-0.0017244394748703483
HCC22-088-P4-S2_1i_rep,fibroblast,0.05499946643403471
HCC22-088-P4-S2_1i_rep,endothelial,0.021301964422169025
HCC22-088-P4-S2_1i_rep,epithelial_tumour,0.24446316823990524
HCC22-088-P5-S1,T_cells,-0.017920082051619764
HCC22-088-P5-S1,B_cells,-0.015387534617612558
HCC22-088-P5-S1,myeloid,0.08788273801203259
HCC22-088-P5-S1,fibroblast,0.09972030122874137
HCC22-088-P5-S1,endothelial,0.045241816204308706
HCC22-088-P5-S1,epithelial_tumour,0.46199921878438516
HCC22-088-P5-S2,T_cells,0.016732241901378665
HCC22-088-P5-S2,B_cells,-0.010866580369063785
HCC22-088-P5-S2,myeloid,0.028216564308734555
HCC22-088-P5-S2,fibroblast,0.11716205343995648
HCC22-088-P5-S2,endothelial,0.019180731218309932
HCC22-088-P5-S2,epithelial_tumour,0.23784678268977671
HCC22-088-P5-S2_F_rep,T_cells,0.02969547435005316
HCC22-088-P5-S2_F_rep,B_cells,-0.01989436053576551
HCC22-088-P5-S2_F_rep,myeloid,0.026503316764087057
HCC22-088-P5-S2_F_rep,fibroblast,0.09146663957510091
HCC22-088-P5-S2_F_rep,endothelial,-0.011645127197456317
HCC22-088-P5-S2_F_rep,epithelial_tumour,0.05162189332572115
HCC22-088-P6-S1,T_cells,-0.049026127487067514
HCC22-088-P6-S1,B_cells,-0.005599294240971328
HCC22-088-P6-S1,myeloid,-0.11185292655488444
HCC22-088-P6-S1,fibroblast,0.10373644063370292
HCC22-088-P6-S1,endothelial,-0.026791124424047578
HCC22-088-P6-S1,epithelial_tumour,0.295232516322329
HCC22-088-P6-S2_D,T_cells,-0.038154514127995
HCC22-088-P6-S2_D,B_cells,0.005186879286637712
HCC22-088-P6-S2_D,myeloid,0.13056794745860004
HCC22-088-P6-S2_D,fibroblast,0.02313398778468609
HCC22-088-P6-S2_D,endothelial,-0.07799951054211643
HCC22-088-P6-S2_D,epithelial_tumour,0.3871054756468201
