sample,gene,r_pearson,r_spearman,n_spots
HCC22-088-P1-S1,CD3E,0.028697280468263472,-0.002187771288192293,664
HCC22-088-P1-S1,CD4,-0.1425155962178603,-0.15520503818759282,664
HCC22-088-P1-S1,CD8A,0.018470131750496947,0.02066451827946248,664
HCC22-088-P1-S1,CD68,0.12231940048577906,0.09291140920137306,664
HCC22-088-P1-S1,CD14,-0.0904953932964061,-0.1095845357191139,664
HCC22-088-P1-S1,CD19,-0.07948205662134512,-0.07787249247797723,664
HCC22-088-P1-S1,MS4A1,-0.12913472440068752,-0.15869852675552118,664
HCC22-088-P1-S1,EPCAM,0.014116052358934525,0.03915362840933343,664
HCC22-088-P1-S1,PECAM1,0.0011342595584798928,0.024999918047667144,664
HCC22-088-P1-S1,VIM,0.21627527262106427,0.1757288134522066,664
HCC22-088-P1-S1,KRT5,0.05829094355046763,0.09639293402137854,664
HCC22-088-P1-S1,PCNA,0.13345943438125668,0.14800848781820913,664
HCC22-088-P1-S1,CD274,0.1008732269715652,0.12698861441840492,664
HCC22-088-P1-S1,PDCD1,-0.03561458196219365,-0.038235539675625374,664
HCC22-088-P1-S1,ACTA2,0.14185386463694982,0.20142850789771724,664
HCC22-088-P1-S1,BCL2,0.17306375631992613,0.21725821111205199,664
HCC22-088-P1-S1,CD163,0.21638932835228308,0.19925203331765703,664
HCC22-088-P1-S1,CR2,-0.08759993357740867,-0.0989629929818438,664
HCC22-088-P1-S1,PAX5,0.10609516243803563,0.1376023876589085,664
HCC22-088-P1-S1,SDC1,0.061399452472875364,0.1679102867415872,664
HCC22-088-P1-S1,FCGR3A,0.0058551560447510365,0.01634698270793918,664
HCC22-088-P1-S1,ITGAX,-0.09651548894407522,-0.11817464801127318,664
HCC22-088-P1-S1,ITGAM,-0.006102247649649815,-0.03779909463441921,664
HCC22-088-P1-S1,CCR7,0.029042996016031247,0.025884972978476476,664
HCC22-088-P1-S1,CD27,-0.11125516284013132,-0.11534772005783352,664
HCC22-088-P1-S1,CXCR5,-0.02836169067205873,-0.026308028346555205,664
HCC22-088-P1-S2,CD3E,-0.005150811730788279,-0.0029490348782934958,4855
HCC22-088-P1-S2,CD4,-0.0609963333829263,-0.04816736228105072,4855
HCC22-088-P1-S2,CD8A,0.032593814116512146,0.019640930063072742,4855
HCC22-088-P1-S2,CD68,0.16577752611569918,0.14783704761708785,4855
HCC22-088-P1-S2,CD14,-0.023155870402392403,-0.03689627693850339,4855
HCC22-088-P1-S2,CD19,-0.01956238530551127,-0.01864355408269012,4855
HCC22-088-P1-S2,MS4A1,0.009181500758083697,0.010934082920339825,4855
HCC22-088-P1-S2,EPCAM,0.16954209158973693,0.20055698135900624,4855
HCC22-088-P1-S2,PECAM1,-0.04186677145901891,-0.045224618712596566,4855
HCC22-088-P1-S2,VIM,0.35174609532250617,0.6169880857544878,4855
HCC22-088-P1-S2,KRT5,0.03793842849350976,0.05550962696790363,4855
HCC22-088-P1-S2,PCNA,0.1338365635791097,0.1475663996984671,4855
HCC22-088-P1-S2,CD274,0.03579959761949693,0.046249319985832975,4855
HCC22-088-P1-S2,PDCD1,-0.028497391615737527,-0.022491284649604436,4855
HCC22-088-P1-S2,ACTA2,0.2395733897450061,0.23064574368794424,4855
HCC22-088-P1-S2,BCL2,0.2469337285751476,0.282171892720767,4855
HCC22-088-P1-S2,CD163,-0.019308124347752986,-0.014615299802148627,4855
HCC22-088-P1-S2,CR2,0.015889510919827005,0.018271744335658573,4855
HCC22-088-P1-S2,PAX5,-0.014658440516369019,-0.01803373655694355,4855
HCC22-088-P1-S2,SDC1,0.09264389659410525,0.12839676175427936,4855
HCC22-088-P1-S2,FCGR3A,0.08923531615548067,0.07812359045080212,4855
HCC22-088-P1-S2,ITGAX,0.10143137617255038,0.09087863788372777,4855
HCC22-088-P1-S2,ITGAM,-0.00033864956624081455,-0.01634032341674856,4855
HCC22-088-P1-S2,CCR7,-0.035969022757454464,-0.04824893232082607,4855
HCC22-088-P1-S2,CD27,-0.04279957222943356,-0.05072976604478083,4855
HCC22-088-P1-S2,CXCR5,0.022149045429198447,0.03236243095540899,4855
HCC22-088-P2-S1,CD3E,-0.007613278600092319,-0.01165607544600741,2071
HCC22-088-P2-S1,CD4,0.060791967185793105,0.06989842529905853,2071
HCC22-088-P2-S1,CD8A,0.017211127561122305,0.02471053737508172,2071
HCC22-088-P2-S1,CD68,0.3393395340392542,0.3095464579636476,2071
HCC22-088-P2-S1,CD14,0.14387789667730422,0.16661882443101483,2071
HCC22-088-P2-S1,CD19,-0.02949041850948357,-0.03064798270792146,2071
HCC22-088-P2-S1,MS4A1,0.04989324942810957,0.05505226264241257,2071
HCC22-088-P2-S1,EPCAM,0.1692423738854184,0.17723282473778632,2071
HCC22-088-P2-S1,PECAM1,0.10088467173574091,0.11432067795072239,2071
HCC22-088-P2-S1,VIM,0.19361855187476162,0.367470403454489,2071
HCC22-088-P2-S1,KRT5,0.145180025114491,0.15879585986772346,2071
HCC22-088-P2-S1,PCNA,0.09054529782004592,0.10624464771829649,2071
HCC22-088-P2-S1,CD274,0.022913555816544987,0.040917689687845954,2071
HCC22-088-P2-S1,PDCD1,-0.03369518859682836,-0.03533152303692856,2071
HCC22-088-P2-S1,ACTA2,0.14590212415776632,0.14546791920675475,2071
HCC22-088-P2-S1,BCL2,0.08775857813259438,0.09410026337136576,2071
HCC22-088-P2-S1,CD163,0.16543910131723005,0.18553232332466468,2071
HCC22-088-P2-S1,CR2,,,2071
HCC22-088-P2-S1,PAX5,-0.024881692009118144,-0.01619834628019669,2071
HCC22-088-P2-S1,SDC1,0.0726335356315751,0.08924731508017739,2071
HCC22-088-P2-S1,FCGR3A,0.06586736897622103,0.08755945115824851,2071
HCC22-088-P2-S1,ITGAX,0.43126484022640754,0.3657563823282295,2071
HCC22-088-P2-S1,ITGAM,-0.0056047292503106,-0.0035345087141471616,2071
HCC22-088-P2-S1,CCR7,-0.047408901953981945,-0.04901978404716291,2071
