I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,protein,sample,feature
0.6509707649762513,0.0,0.0009397528,0.0,0.005,0.0011124917751823215,0.0,0.0,0.005,VIM-1,HCC22-088-P1-S1,VIM
0.6439607893044257,0.0,0.0009397528,0.0,0.005,0.0010549830817123843,0.0,0.0,0.005,HLA-DRA,HCC22-088-P1-S1,HLA
0.64051964382178,0.0,0.0009397528,0.0,0.005,0.00113837900590377,0.0,0.0,0.005,CD14-1,HCC22-088-P1-S1,CD14
0.6155719047707104,0.0,0.0009397528,0.0,0.005,0.0010148663715222929,0.0,0.0,0.005,CD40-1,HCC22-088-P1-S1,CD40
0.5814063512326204,0.0,0.0009397528,0.0,0.005,0.0009211699789411908,0.0,0.0,0.005,PTPRC-2,HCC22-088-P1-S1,PTPRC
0.5790439900266132,0.0,0.0009397528,0.0,0.005,0.000954551169963544,0.0,0.0,0.005,CD163-1,HCC22-088-P1-S1,CD163
0.5668752979604191,0.0,0.0009397528,0.0,0.005,0.001065195534636437,0.0,0.0,0.005,CD68-1,HCC22-088-P1-S1,CD68
0.563281990961806,0.0,0.0009397528,0.0,0.005,0.000892276283674482,0.0,0.0,0.005,CD3E-1,HCC22-088-P1-S1,CD3E
0.5501833610654723,0.0,0.0009397528,0.0,0.005,0.0009454355629838372,0.0,0.0,0.005,CR2-1,HCC22-088-P1-S1,CR2
0.5445528633768781,0.0,0.0009397528,0.0,0.005,0.0010383422366480241,0.0,0.0,0.005,CXCR5-1,HCC22-088-P1-S1,CXCR5
0.5418617250210568,0.0,0.0009397528,0.0,0.005,0.001033873165535786,0.0,0.0,0.005,PDCD1-1,HCC22-088-P1-S1,PDCD1
0.5355611045937824,0.0,0.0009397528,0.0,0.005,0.0008385156218507623,0.0,0.0,0.005,CD19-1,HCC22-088-P1-S1,CD19
0.5323908050402109,0.0,0.0009397528,0.0,0.005,0.0009584154767610823,0.0,0.0,0.005,MS4A1-1,HCC22-088-P1-S1,MS4A1
0.5285030614264675,0.0,0.0009397528,0.0,0.005,0.0009689376099425343,0.0,0.0,0.005,CD27-1,HCC22-088-P1-S1,CD27
0.5007937927069347,0.0,0.0009397528,0.0,0.005,0.0008415238452354606,0.0,0.0,0.005,ITGAX-1,HCC22-088-P1-S1,ITGAX
0.4915511616812197,0.0,0.0009397528,0.0,0.005,0.0009180729509189001,0.0,0.0,0.005,PTPRC-1,HCC22-088-P1-S1,PTPRC
0.48571190053189633,0.0,0.0009397528,0.0,0.005,0.0007807636239634624,0.0,0.0,0.005,CD8A-1,HCC22-088-P1-S1,CD8A
0.4611559455847724,0.0,0.0009397528,0.0,0.005,0.0008212813348918646,0.0,0.0,0.005,rat_IgG2a,HCC22-088-P1-S1,rat_IgG2a
0.45413853742630084,0.0,0.0009397528,0.0,0.005,0.000900641112047317,0.0,0.0,0.005,CCR7-1,HCC22-088-P1-S1,CCR7
0.4378085919937363,0.0,0.0009397528,0.0,0.005,0.0009350783591367007,0.0,0.0,0.005,CD4-1,HCC22-088-P1-S1,CD4
0.43052774697812657,0.0,0.0009397528,0.0,0.005,0.0008928125206065123,0.0,0.0,0.005,mouse_IgG1k,HCC22-088-P1-S1,mouse_IgG1k
0.4300231931737638,0.0,0.0009397528,0.0,0.005,0.0008448505615708452,0.0,0.0,0.005,EPCAM-1,HCC22-088-P1-S1,EPCAM
0.4172517155463005,0.0,0.0009397528,0.0,0.005,0.0008897056694506357,0.0,0.0,0.005,ITGAM-1,HCC22-088-P1-S1,ITGAM
0.3898162513365162,0.0,0.0009397528,0.0,0.005,0.0008949081273578557,0.0,0.0,0.005,PECAM1-1,HCC22-088-P1-S1,PECAM1
0.3609951582640918,0.0,0.0009397528,0.0,0.005,0.0008150254013317949,0.0,0.0,0.005,PCNA-1,HCC22-088-P1-S1,PCNA
0.34736866387079085,0.0,0.0009397528,0.0,0.005,0.0007666043549946057,0.0,0.0,0.005,BCL2-1,HCC22-088-P1-S1,BCL2
0.3295152609239286,0.0,0.0009397528,0.0,0.005,0.0009281220144806084,0.0,0.0,0.005,mouse_IgG2a,HCC22-088-P1-S1,mouse_IgG2a
0.3293672136504605,0.0,0.0009397528,0.0,0.005,0.0008581400098304687,0.0,0.0,0.005,ACTA2-1,HCC22-088-P1-S1,ACTA2
0.26939244767586534,0.0,0.0009397528,0.0,0.005,0.0007537934848307283,0.0,0.0,0.005,KRT5-1,HCC22-088-P1-S1,KRT5
0.17035075667146274,1.034315244563544e-08,0.0009397528,1.2175815911064092e-11,0.005,0.0006358616700748127,1.206701118657468e-08,1.4205118562908108e-11,0.005,CEACAM8-1,HCC22-088-P1-S1,CEACAM8
0.15457782230712125,1.7749227498864428e-07,0.0009397528,1.1770628915996895e-10,0.005,0.0006283742225884289,2.003945040194371e-07,1.3289419743867462e-10,0.005,PAX5-1,HCC22-088-P1-S1,PAX5
0.13688574687066718,3.1731723623140695e-06,0.0009397528,1.5342220605063517e-08,0.005,0.0006160710594876934,3.4706572712810135e-06,1.678055378678822e-08,0.005,SDC1-1,HCC22-088-P1-S1,SDC1
0.1318773292633261,6.771838105379402e-06,0.0009397528,1.454381831633711e-07,0.005,0.0006853327356216427,7.182252536008456e-06,1.542526185066057e-07,0.005,CD274-1,HCC22-088-P1-S1,CD274
0.12887354442560653,1.0539402189202463e-05,0.0009397528,1.9343317181341746e-07,0.005,0.0006370086067187006,1.0849384606531946e-05,1.991223827491062e-07,0.005,FCGR3A-1,HCC22-088-P1-S1,FCGR3A
0.07621717983260973,0.005615005453854072,0.0009397528,0.0005947517915101397,0.005,0.0005478380773350039,0.005615005453854072,0.0005947517915101397,0.005,mouse_IgG2bk,HCC22-088-P1-S1,mouse_IgG2bk
0.8483676725780097,0.0,0.000106633386,0.0,0.005,0.0001582559792028177,0.0,0.0,0.005,VIM-1,HCC22-088-P1-S2,VIM
0.8376132833699794,0.0,0.000106633386,0.0,0.005,0.00015423876688065485,0.0,0.0,0.005,ACTA2-1,HCC22-088-P1-S2,ACTA2
0.8253505447902728,0.0,0.000106633386,0.0,0.005,0.000145466935867609,0.0,0.0,0.005,HLA-DRA,HCC22-088-P1-S2,HLA
0.8122783046329248,0.0,0.000106633386,0.0,0.005,0.0001594331586872041,0.0,0.0,0.005,SDC1-1,HCC22-088-P1-S2,SDC1
