sample,patient,treatment,program,moranI
HCC22-088-P1-S1,P1,pre,score_B_cell_activity,0.7002086671625452
HCC22-088-P1-S1,P1,pre,score_Estrogen_response,0.5594437139969479
HCC22-088-P1-S1,P1,pre,rna_epithelial_tumour,0.5166907814971919
HCC22-088-P1-S1,P1,pre,score_Myeloid_inflammation,0.47924611338627404
HCC22-088-P1-S1,P1,pre,score_Fibroblast_activation,0.29173139383684643
HCC22-088-P1-S1,P1,pre,rna_T_cells,0.2826900534406817
HCC22-088-P1-S1,P1,pre,score_Proliferation,0.1890794395971473
HCC22-088-P1-S1,P1,pre,score_EMT,0.17948663220300176
HCC22-088-P1-S1,P1,pre,score_T_cell_activity,0.10910386855784168
HCC22-088-P1-S1,P1,pre,score_Cytotoxicity,0.10813018038804634
HCC22-088-P1-S1,P1,pre,score_Angiogenesis,0.05342261795002599
HCC22-088-P1-S1,P1,pre,score_Interferon_response,0.020768526095989167
HCC22-088-P1-S1,P1,pre,score_Hypoxia,0.01799694689773352
HCC22-088-P1-S2,P1,post,score_Fibroblast_activation,0.7649171328826507
HCC22-088-P1-S2,P1,post,score_EMT,0.7394257462777426
HCC22-088-P1-S2,P1,post,rna_epithelial_tumour,0.6605301876660514
HCC22-088-P1-S2,P1,post,score_Myeloid_inflammation,0.6008007265928905
HCC22-088-P1-S2,P1,post,score_Estrogen_response,0.498005628369479
HCC22-088-P1-S2,P1,post,score_Interferon_response,0.36752150863944
HCC22-088-P1-S2,P1,post,score_Angiogenesis,0.26546998815202344
HCC22-088-P1-S2,P1,post,score_Proliferation,0.25312992870357154
HCC22-088-P1-S2,P1,post,score_B_cell_activity,0.2438989100444525
HCC22-088-P1-S2,P1,post,score_Cytotoxicity,0.12084549085918557
HCC22-088-P1-S2,P1,post,score_T_cell_activity,0.11174888587694184
HCC22-088-P1-S2,P1,post,rna_T_cells,0.1097242776960204
HCC22-088-P1-S2,P1,post,score_Hypoxia,0.10914959276014766
HCC22-088-P2-S1,P2,pre,score_Estrogen_response,0.6489851903546524
HCC22-088-P2-S1,P2,pre,rna_epithelial_tumour,0.4786916607498654
HCC22-088-P2-S1,P2,pre,score_Myeloid_inflammation,0.4532855130649895
HCC22-088-P2-S1,P2,pre,score_Fibroblast_activation,0.4121190389666007
HCC22-088-P2-S1,P2,pre,score_B_cell_activity,0.26132976638993416
HCC22-088-P2-S1,P2,pre,score_EMT,0.25015330339690117
HCC22-088-P2-S1,P2,pre,score_Angiogenesis,0.07320222648660642
HCC22-088-P2-S1,P2,pre,score_Interferon_response,0.0669871263577958
HCC22-088-P2-S1,P2,pre,score_Proliferation,0.05263786769662651
HCC22-088-P2-S1,P2,pre,score_Cytotoxicity,0.03945717205256979
HCC22-088-P2-S1,P2,pre,score_T_cell_activity,0.009269935117877236
HCC22-088-P2-S1,P2,pre,score_Hypoxia,-0.0008925647358155383
HCC22-088-P2-S1,P2,pre,rna_T_cells,-0.014298851512287507
HCC22-088-P2-S2,P2,post,score_Estrogen_response,0.7191471523337384
HCC22-088-P2-S2,P2,post,score_Myeloid_inflammation,0.556438549952823
HCC22-088-P2-S2,P2,post,rna_epithelial_tumour,0.5345374159062222
HCC22-088-P2-S2,P2,post,score_Fibroblast_activation,0.41173640948722684
HCC22-088-P2-S2,P2,post,score_EMT,0.3701772167407108
HCC22-088-P2-S2,P2,post,score_B_cell_activity,0.26359271063577544
HCC22-088-P2-S2,P2,post,score_Angiogenesis,0.10005536889735016
