sample,silhouette_RNA,moran_RNA,niche_RNA,silhouette_RNA+protein,moran_RNA+protein,niche_RNA+protein,silhouette_RNA+protein+graph,moran_RNA+protein+graph,niche_RNA+protein+graph,n_spots
HCC22-088-P1-S1,0.3368809223175049,0.2607217352888801,0.7788195315674805,0.31137150526046753,0.23866215403029878,0.7839812665298296,0.42671599984169006,0.6941744183851998,0.78343127777973,664
HCC22-088-P1-S2,0.06524576246738434,0.6149750800073749,0.7992496368285973,0.06944464892148972,0.607757492145518,0.7984067529920977,0.11423259228467941,0.9257873897050656,0.7860365222579567,4855
HCC22-088-P2-S1,0.06480800360441208,0.2479761715360729,0.7579674340494825,0.06538388878107071,0.2655741506366305,0.7573494786158548,0.14592915773391724,0.7550577943161019,0.7482714103026148,2071
HCC22-088-P2-S2,0.0887453630566597,0.3840499132323189,0.7555875628092358,0.07517460733652115,0.3852791943956872,0.7554853115747014,0.1272599697113037,0.8792353918454505,0.753865978379455,4734
HCC22-088-P3-S1_A,-0.009523470886051655,0.2449157443903236,0.8649159428117931,-0.016852885484695435,0.22193383286837537,0.8661599581784305,-0.0868198424577713,0.5012966335169959,0.8465235894179959,418
HCC22-088-P3-S2,0.020286759361624718,0.4509556513818356,0.7521015829951238,0.014279777184128761,0.42237932510451437,0.752223044335529,0.047729961574077606,0.8577205827237646,0.7352892436995068,4485
HCC22-088-P4-S1,-0.009694436565041542,0.09361132752852526,0.7352825835815415,-0.012006635777652264,0.08564397279106109,0.7395717093175631,-0.035126008093357086,0.20642387823149352,0.734246512996442,693
HCC22-088-P4-S2,-0.03843993321061134,0.3824386636861574,0.7709913012171092,-0.032519228756427765,0.38121560076063776,0.7709515567339555,0.02832297421991825,0.8140251744969439,0.7526510440950109,4747
HCC22-088-P4-S2_1i_rep,-0.025609910488128662,0.14141890241605098,0.6774042374470391,-0.026933135464787483,0.1355735271450284,0.6785188936878961,-0.003448711708188057,0.49602685538701397,0.6812978885906668,2590
HCC22-088-P5-S1,0.01847127638757229,0.20583564292603163,0.7953944980702778,0.02537412755191326,0.2118991286925033,0.7998112981333317,0.03950611501932144,0.5552229210520192,0.7754057694418486,1170
HCC22-088-P5-S2,0.034386180341243744,0.24080363861206808,0.7554103768588823,0.03592120110988617,0.24151992476450435,0.7561975616021551,-0.0025453376583755016,0.7240934016407696,0.7377676532017573,3598
HCC22-088-P5-S2_F_rep,-0.0005613721441477537,0.22946067567361744,0.715905325625079,0.0012301071546971798,0.23807374747306048,0.717877407328926,0.06268392503261566,0.7500110313556578,0.6995391374004201,4343
HCC22-088-P6-S1,-0.026383409276604652,0.07760693232988938,0.8091344648524296,-0.02317759208381176,0.10221085336675634,0.8076383560760494,-0.0004285715986043215,0.15868444788499717,0.7650811988542897,294
HCC22-088-P6-S2_D,-0.048852112144231796,0.358146586360389,0.7386763755451852,-0.04312552511692047,0.34648293733242486,0.738974863787281,0.032739631831645966,0.8650088534460003,0.7297912957309566,4766
