sample,patient,treatment,ligand,receptor,category,interface_score,ref_score,n_interface
HCC22-088-P1-S1,P1,pre,CXCL10,CXCR3,Immune->Tumour,0.0,0.26571712,16
HCC22-088-P1-S1,P1,pre,CXCL9,CXCR3,Immune->Tumour,0.0,0.24116258,16
HCC22-088-P1-S1,P1,pre,CXCL11,CXCR3,Immune->Tumour,0.0,0.20778336,16
HCC22-088-P1-S1,P1,pre,CCL5,CCR5,Immune->Tumour,0.0,0.8559071,16
HCC22-088-P1-S1,P1,pre,CCL2,CCR2,Immune->Tumour,0.0,0.11490698,16
HCC22-088-P1-S1,P1,pre,CCL3,CCR1,Immune->Tumour,0.0,0.031569075,16
HCC22-088-P1-S1,P1,pre,TNF,TNFRSF1A,Immune->Tumour,0.0,0.0,16
HCC22-088-P1-S1,P1,pre,IL1B,IL1R1,Immune->Tumour,0.0,0.0,16
HCC22-088-P1-S1,P1,pre,IFNG,IFNGR1,Immune->Tumour,0.0,0.0,16
HCC22-088-P1-S1,P1,pre,CSF1,CSF1R,Immune->Tumour,0.43898058,0.99429137,16
HCC22-088-P1-S1,P1,pre,MIF,CD74,Immune->Tumour,22.036615,47.63052,16
HCC22-088-P1-S1,P1,pre,CD274,PDCD1,Immune->Immune(checkpoint),0.0,0.0,16
HCC22-088-P1-S1,P1,pre,LGALS9,HAVCR2,Immune->Immune(checkpoint),1.1738911,0.23507142,16
HCC22-088-P1-S1,P1,pre,CD40LG,CD40,Immune->Immune,0.0,0.3801201,16
HCC22-088-P1-S1,P1,pre,MDK,LRP1,Tumour->Immune,10.487625,5.684892,16
HCC22-088-P1-S1,P1,pre,MDK,ITGA6,Tumour->Immune,0.0,4.3957605,16
HCC22-088-P1-S1,P1,pre,TGFB1,TGFBR1,Tumour->Immune,0.0,0.5617243,16
HCC22-088-P1-S1,P1,pre,VEGFA,KDR,Tumour->Immune,2.2151232,0.0,16
HCC22-088-P1-S1,P1,pre,VEGFA,FLT1,Tumour->Immune,2.400659,0.0,16
HCC22-088-P1-S1,P1,pre,AREG,EGFR,Tumour->Immune,0.0,0.0,16
HCC22-088-P1-S1,P1,pre,HBEGF,EGFR,Tumour->Immune,0.0,0.07620067,16
HCC22-088-P1-S1,P1,pre,CXCL12,CXCR4,Tumour->Immune,20.133198,6.1046457,16
HCC22-088-P1-S1,P1,pre,CSF1,CSF1R,Tumour->Immune(myeloid),0.48397228,0.99429137,16
HCC22-088-P1-S1,P1,pre,PDGFB,PDGFRB,Tumour->Stroma,3.4802208,1.9006383,16
HCC22-088-P1-S1,P1,pre,FGF2,FGFR1,Tumour->Stroma,0.0,0.16353714,16
HCC22-088-P1-S1,P1,pre,COL1A1,SDC1,Stroma->Tumour,9.36773,6.9164934,16
HCC22-088-P1-S2,P1,post,CXCL10,CXCR3,Immune->Tumour,0.09856418,0.04859476,439
HCC22-088-P1-S2,P1,post,CXCL9,CXCR3,Immune->Tumour,0.043048345,0.015946036,439
HCC22-088-P1-S2,P1,post,CXCL11,CXCR3,Immune->Tumour,0.010346338,0.014451638,439
HCC22-088-P1-S2,P1,post,CCL5,CCR5,Immune->Tumour,0.10693979,0.052057013,439
HCC22-088-P1-S2,P1,post,CCL2,CCR2,Immune->Tumour,0.116013475,0.044694625,439
HCC22-088-P1-S2,P1,post,CCL3,CCR1,Immune->Tumour,0.101731025,0.18345584,439
HCC22-088-P1-S2,P1,post,TNF,TNFRSF1A,Immune->Tumour,0.43029913,0.5191371,439
HCC22-088-P1-S2,P1,post,IL1B,IL1R1,Immune->Tumour,1.0157589,0.5469708,439
HCC22-088-P1-S2,P1,post,IFNG,IFNGR1,Immune->Tumour,0.0,0.100620285,439
HCC22-088-P1-S2,P1,post,CSF1,CSF1R,Immune->Tumour,1.1801757,0.9930279,439
HCC22-088-P1-S2,P1,post,MIF,CD74,Immune->Tumour,30.231739,38.212574,439
HCC22-088-P1-S2,P1,post,CD274,PDCD1,Immune->Immune(checkpoint),0.013712876,0.011547948,439
HCC22-088-P1-S2,P1,post,LGALS9,HAVCR2,Immune->Immune(checkpoint),0.78596467,0.63709915,439
HCC22-088-P1-S2,P1,post,CD40LG,CD40,Immune->Immune,0.055031553,0.05339037,439
HCC22-088-P1-S2,P1,post,MDK,LRP1,Tumour->Immune,7.4980083,8.862043,439
HCC22-088-P1-S2,P1,post,MDK,ITGA6,Tumour->Immune,5.3641605,6.275568,439
HCC22-088-P1-S2,P1,post,TGFB1,TGFBR1,Tumour->Immune,0.7213699,0.6249406,439
HCC22-088-P1-S2,P1,post,VEGFA,KDR,Tumour->Immune,7.843156,4.039745,439
HCC22-088-P1-S2,P1,post,VEGFA,FLT1,Tumour->Immune,4.9104953,3.099682,439
HCC22-088-P1-S2,P1,post,AREG,EGFR,Tumour->Immune,0.0060395687,0.019159859,439
HCC22-088-P1-S2,P1,post,HBEGF,EGFR,Tumour->Immune,0.05437956,0.052723736,439
HCC22-088-P1-S2,P1,post,CXCL12,CXCR4,Tumour->Immune,2.9192452,4.3442774,439
HCC22-088-P1-S2,P1,post,CSF1,CSF1R,Tumour->Immune(myeloid),1.2874198,0.9930279,439
HCC22-088-P1-S2,P1,post,PDGFB,PDGFRB,Tumour->Stroma,2.2243335,2.0169683,439
HCC22-088-P1-S2,P1,post,FGF2,FGFR1,Tumour->Stroma,0.15417343,0.16531798,439
HCC22-088-P1-S2,P1,post,COL1A1,SDC1,Stroma->Tumour,8.039268,7.9364066,439
HCC22-088-P2-S1,P2,pre,CXCL10,CXCR3,Immune->Tumour,0.0,0.0,75
HCC22-088-P2-S1,P2,pre,CXCL9,CXCR3,Immune->Tumour,0.0,0.0,75
HCC22-088-P2-S1,P2,pre,CXCL11,CXCR3,Immune->Tumour,0.0,0.0,75
HCC22-088-P2-S1,P2,pre,CCL5,CCR5,Immune->Tumour,0.0,0.08035852,75
HCC22-088-P2-S1,P2,pre,CCL2,CCR2,Immune->Tumour,0.0,0.013036313,75
HCC22-088-P2-S1,P2,pre,CCL3,CCR1,Immune->Tumour,0.0,0.32860398,75
HCC22-088-P2-S1,P2,pre,TNF,TNFRSF1A,Immune->Tumour,0.0,0.0,75
HCC22-088-P2-S1,P2,pre,IL1B,IL1R1,Immune->Tumour,0.12609482,0.32844457,75
HCC22-088-P2-S1,P2,pre,IFNG,IFNGR1,Immune->Tumour,0.0,0.0,75
HCC22-088-P2-S1,P2,pre,CSF1,CSF1R,Immune->Tumour,0.47638237,2.0097122,75
HCC22-088-P2-S1,P2,pre,MIF,CD74,Immune->Tumour,2.7318625,9.078547,75
HCC22-088-P2-S1,P2,pre,CD274,PDCD1,Immune->Immune(checkpoint),0.0,0.0,75
HCC22-088-P2-S1,P2,pre,LGALS9,HAVCR2,Immune->Immune(checkpoint),0.12145867,0.55529416,75
HCC22-088-P2-S1,P2,pre,CD40LG,CD40,Immune->Immune,0.0,0.0,75
HCC22-088-P2-S1,P2,pre,MDK,LRP1,Tumour->Immune,4.057966,8.492773,75
HCC22-088-P2-S1,P2,pre,MDK,ITGA6,Tumour->Immune,2.916729,1.9268506,75
HCC22-088-P2-S1,P2,pre,TGFB1,TGFBR1,Tumour->Immune,0.0,0.5087643,75
HCC22-088-P2-S1,P2,pre,VEGFA,KDR,Tumour->Immune,0.6023123,0.08042637,75
HCC22-088-P2-S1,P2,pre,VEGFA,FLT1,Tumour->Immune,0.0,0.3288413,75
HCC22-088-P2-S1,P2,pre,AREG,EGFR,Tumour->Immune,0.06456541,0.09270282,75
HCC22-088-P2-S1,P2,pre,HBEGF,EGFR,Tumour->Immune,0.19597392,0.0,75
