ligand,receptor,category,score_pre,score_post,ref_pre,ref_post,n,score_delta,interface_enrichment
MIF,CD74,Immune->Tumour,6.7534995,10.012909,15.415026,11.376263,10,3.2594094,0.43811145
MDK,LRP1,Tumour->Immune,4.2736573,7.328665,3.9869745,6.609646,10,3.0550075,1.0719049
COL1A1,SDC1,Stroma->Tumour,6.3134127,6.2141757,4.363393,6.358513,10,-0.099236965,1.4469045
MDK,ITGA6,Tumour->Immune,0.80045867,3.3215287,1.6722819,3.7405846,10,2.52107,0.47866252
CXCL12,CXCR4,Tumour->Immune,5.498369,2.7624464,2.8222117,2.1057725,10,-2.7359228,1.9482483
VEGFA,KDR,Tumour->Immune,0.7308067,2.3139718,0.14185359,1.444838,10,1.583165,5.1518383
PDGFB,PDGFRB,Tumour->Stroma,1.1674912,2.2774608,1.0698988,1.0209882,10,1.1099696,1.0912164
VEGFA,FLT1,Tumour->Immune,0.67470175,1.8414649,0.16915421,1.1073803,10,1.1667631,3.9886785
CSF1,CSF1R,Immune->Tumour,0.24211968,1.0434333,0.77775794,0.73583794,10,0.80131364,0.3113047
CSF1,CSF1R,Tumour->Immune(myeloid),0.24301341,1.0013027,0.77775794,0.73583794,10,0.75828934,0.31245378
TGFB1,TGFBR1,Tumour->Immune,0.025041882,0.816247,0.27299795,0.31856403,10,0.7912051,0.091729194
LGALS9,HAVCR2,Immune->Immune(checkpoint),0.3293481,0.51204425,0.19936474,0.2693359,10,0.18269616,1.6519877
TNF,TNFRSF1A,Immune->Tumour,0.010047896,0.48874915,0.004498131,0.23394041,10,0.47870126,2.2337935
IL1B,IL1R1,Immune->Tumour,0.031523705,0.41367984,0.08211114,0.4257424,10,0.38215613,0.38391507
HBEGF,EGFR,Tumour->Immune,0.04899348,0.40787527,0.020278214,0.21374522,10,0.3588818,2.416065
FGF2,FGFR1,Tumour->Stroma,0.24250793,0.399819,0.27601093,0.24840194,10,0.15731105,0.87861717
AREG,EGFR,Tumour->Immune,0.022155704,0.23368299,0.027094653,0.1403606,10,0.21152729,0.817715
CCL5,CCR5,Immune->Tumour,0.0,0.090658866,0.23507741,0.044833917,10,0.090658866,0.0
CCL3,CCR1,Immune->Tumour,0.0,0.033567633,0.090670966,0.07155994,10,0.033567633,0.0
IFNG,IFNGR1,Immune->Tumour,0.0,0.0227549,0.0,0.082713194,10,0.0227549,
CCL2,CCR2,Immune->Tumour,0.0013943025,0.02092825,0.031985823,0.036577918,10,0.019533949,0.043591265
CXCL10,CXCR3,Immune->Tumour,0.0,0.016847573,0.06642928,0.015266702,10,0.016847573,0.0
CD40LG,CD40,Immune->Immune,0.0,0.0123594105,0.095030025,0.031154081,10,0.0123594105,0.0
CXCL9,CXCR3,Immune->Tumour,0.0005248328,0.007557214,0.060290646,0.008941383,10,0.007032381,0.008705045
CD274,PDCD1,Immune->Immune(checkpoint),0.0,0.0030305088,0.0,0.008108592,10,0.0030305088,
CXCL11,CXCR3,Immune->Tumour,0.0,0.0017243897,0.05194584,0.00561795,10,0.0017243897,0.0
