sample,marker,state,hotspot_delta
HCC22-088-P1-S1,CD68,T_cells,0.01709071688080541
HCC22-088-P1-S1,CD68,B_cells,0.023581983370770776
HCC22-088-P1-S1,CD68,myeloid,0.05738285035777024
HCC22-088-P1-S1,CD68,fibroblast,-0.12523521955740796
HCC22-088-P1-S1,CD68,endothelial,-0.005259014163167458
HCC22-088-P1-S1,CD68,epithelial_tumour,0.06055113291042579
HCC22-088-P1-S2,CD68,T_cells,0.00011974360759837467
HCC22-088-P1-S2,CD68,B_cells,0.0006653138927416348
HCC22-088-P1-S2,CD68,myeloid,0.029610518193327995
HCC22-088-P1-S2,CD68,fibroblast,-0.09211800620922483
HCC22-088-P1-S2,CD68,endothelial,-0.003519516713229899
HCC22-088-P1-S2,CD68,epithelial_tumour,0.07952396418106053
HCC22-088-P2-S1,CD68,T_cells,1.852698625322627e-05
HCC22-088-P2-S1,CD68,B_cells,0.003068935957556699
HCC22-088-P2-S1,CD68,myeloid,0.0785093404680714
HCC22-088-P2-S1,CD68,fibroblast,-0.0731475950951771
HCC22-088-P2-S1,CD68,endothelial,0.007463528223472814
HCC22-088-P2-S1,CD68,epithelial_tumour,0.004049871638786451
HCC22-088-P2-S2,CD68,T_cells,-0.001038684735636842
HCC22-088-P2-S2,CD68,B_cells,0.011289280799348385
HCC22-088-P2-S2,CD68,myeloid,0.037498979210249556
HCC22-088-P2-S2,CD68,fibroblast,-0.05684582761979062
HCC22-088-P2-S2,CD68,endothelial,-0.00391709461837126
HCC22-088-P2-S2,CD68,epithelial_tumour,0.013021436039191175
HCC22-088-P3-S1_A,CD68,T_cells,0.006797399965320573
HCC22-088-P3-S1_A,CD68,B_cells,0.012121048032910822
HCC22-088-P3-S1_A,CD68,myeloid,0.037260717981586144
HCC22-088-P3-S1_A,CD68,fibroblast,-0.06491353009190493
HCC22-088-P3-S1_A,CD68,endothelial,-0.029956473458713273
HCC22-088-P3-S1_A,CD68,epithelial_tumour,0.048275502107541904
HCC22-088-P3-S2,CD68,T_cells,-0.000877933303321447
HCC22-088-P3-S2,CD68,B_cells,0.00301416133926391
HCC22-088-P3-S2,CD68,myeloid,0.025602318434778927
HCC22-088-P3-S2,CD68,fibroblast,-0.024619718561505244
HCC22-088-P3-S2,CD68,endothelial,-0.0017710495267829543
HCC22-088-P3-S2,CD68,epithelial_tumour,0.021241191674665053
HCC22-088-P4-S1,CD68,T_cells,0.0030426393557307415
HCC22-088-P4-S1,CD68,B_cells,-0.0019719539115715667
HCC22-088-P4-S1,CD68,myeloid,0.10877119716829212
HCC22-088-P4-S1,CD68,fibroblast,-0.10764866532151429
HCC22-088-P4-S1,CD68,endothelial,0.006140730143602911
HCC22-088-P4-S1,CD68,epithelial_tumour,-0.0025758327168875494
HCC22-088-P4-S2,CD68,T_cells,-1.882502807904786e-05
HCC22-088-P4-S2,CD68,B_cells,-0.0017625101287318309
HCC22-088-P4-S2,CD68,myeloid,0.0677154921576364
HCC22-088-P4-S2,CD68,fibroblast,-0.08398183714518226
HCC22-088-P4-S2,CD68,endothelial,-0.009160552836416015
HCC22-088-P4-S2,CD68,epithelial_tumour,0.03703969365493007
HCC22-088-P5-S1,CD68,T_cells,0.0013830562486372303
HCC22-088-P5-S1,CD68,B_cells,0.011800948793343632
HCC22-088-P5-S1,CD68,myeloid,0.014863035891834304
HCC22-088-P5-S1,CD68,fibroblast,-0.04738055429462662
HCC22-088-P5-S1,CD68,endothelial,-0.001535616194034306
HCC22-088-P5-S1,CD68,epithelial_tumour,0.031217003356706824
HCC22-088-P5-S2,CD68,T_cells,0.0019563380995524272
HCC22-088-P5-S2,CD68,B_cells,-0.0015942276219239396
HCC22-088-P5-S2,CD68,myeloid,0.012579168494267629
HCC22-088-P5-S2,CD68,fibroblast,-0.02077640706390327
HCC22-088-P5-S2,CD68,endothelial,-0.005787998443466273
HCC22-088-P5-S2,CD68,epithelial_tumour,0.001417377420902921
HCC22-088-P6-S1,CD68,T_cells,-2.305926193478438e-06
HCC22-088-P6-S1,CD68,B_cells,-0.0029455711001716896
HCC22-088-P6-S1,CD68,myeloid,0.0020514723647382174
HCC22-088-P6-S1,CD68,fibroblast,-0.03630241604242468
HCC22-088-P6-S1,CD68,endothelial,0.007945778663296238
HCC22-088-P6-S1,CD68,epithelial_tumour,0.033798496586209675
HCC22-088-P6-S2_D,CD68,T_cells,0.0021132681886848422
HCC22-088-P6-S2_D,CD68,B_cells,0.007545635910773164
HCC22-088-P6-S2_D,CD68,myeloid,0.037706408233782046
HCC22-088-P6-S2_D,CD68,fibroblast,-0.03647040246182143
HCC22-088-P6-S2_D,CD68,endothelial,-0.01121821386425996
HCC22-088-P6-S2_D,CD68,epithelial_tumour,0.022708595978584784
HCC22-088-P1-S1,CD3E,T_cells,0.011178331968989885
HCC22-088-P1-S1,CD3E,B_cells,0.042901166825564684
HCC22-088-P1-S1,CD3E,myeloid,-0.016284899135069003
HCC22-088-P1-S1,CD3E,fibroblast,-0.09496748174018316
HCC22-088-P1-S1,CD3E,endothelial,-0.00240876776986719
HCC22-088-P1-S1,CD3E,epithelial_tumour,0.09572622816381782
HCC22-088-P1-S2,CD3E,T_cells,0.0010975954365803082
HCC22-088-P1-S2,CD3E,B_cells,-0.00017869868297456203
HCC22-088-P1-S2,CD3E,myeloid,0.00840552136029285
HCC22-088-P1-S2,CD3E,fibroblast,-0.04262392669539328
HCC22-088-P1-S2,CD3E,endothelial,-0.0018089115939962444
HCC22-088-P1-S2,CD3E,epithelial_tumour,0.034013214421147325
HCC22-088-P2-S1,CD3E,T_cells,-0.0028592795040717923
HCC22-088-P2-S1,CD3E,B_cells,-0.005697447504870435
HCC22-088-P2-S1,CD3E,myeloid,-0.015246261470970052
HCC22-088-P2-S1,CD3E,fibroblast,-0.050481827268236135
HCC22-088-P2-S1,CD3E,endothelial,-0.003918180262910249
HCC22-088-P2-S1,CD3E,epithelial_tumour,0.09559118725630074
HCC22-088-P2-S2,CD3E,T_cells,-0.0010837633272670118
HCC22-088-P2-S2,CD3E,B_cells,-0.00917172797891301
HCC22-088-P2-S2,CD3E,myeloid,0.006689039432361696
HCC22-088-P2-S2,CD3E,fibroblast,-0.06446194351818291
HCC22-088-P2-S2,CD3E,endothelial,-0.00112963273068023
HCC22-088-P2-S2,CD3E,epithelial_tumour,0.08380781875838769
HCC22-088-P3-S1_A,CD3E,T_cells,0.007225648584364277
HCC22-088-P3-S1_A,CD3E,B_cells,0.0061006340377482635
HCC22-088-P3-S1_A,CD3E,myeloid,0.06032435006641615
HCC22-088-P3-S1_A,CD3E,fibroblast,-0.08632080468796494
HCC22-088-P3-S1_A,CD3E,endothelial,-0.058557956466363414
HCC22-088-P3-S1_A,CD3E,epithelial_tumour,0.08081279300254085
HCC22-088-P3-S2,CD3E,T_cells,0.0070866898607320795
HCC22-088-P3-S2,CD3E,B_cells,0.00018741227437336916
HCC22-088-P3-S2,CD3E,myeloid,1.1070481393024578e-05
HCC22-088-P3-S2,CD3E,fibroblast,-0.019136924512324405
HCC22-088-P3-S2,CD3E,endothelial,-0.010234033263539492
HCC22-088-P3-S2,CD3E,epithelial_tumour,0.05656801342294435
HCC22-088-P4-S1,CD3E,T_cells,-0.004616690360515326
HCC22-088-P4-S1,CD3E,B_cells,-0.010577230645298176
HCC22-088-P4-S1,CD3E,myeloid,-0.04841978532434977
HCC22-088-P4-S1,CD3E,fibroblast,-0.0108608585560237
HCC22-088-P4-S1,CD3E,endothelial,0.01249017220469591
HCC22-088-P4-S1,CD3E,epithelial_tumour,0.052335659911371187
HCC22-088-P4-S2,CD3E,T_cells,-0.004524692100723687
HCC22-088-P4-S2,CD3E,B_cells,-0.008181123506571563
HCC22-088-P4-S2,CD3E,myeloid,-0.021911486790638784
HCC22-088-P4-S2,CD3E,fibroblast,-0.030359796967660335
HCC22-088-P4-S2,CD3E,endothelial,-0.013660842851454073
HCC22-088-P4-S2,CD3E,epithelial_tumour,0.08846940289120586
HCC22-088-P5-S1,CD3E,T_cells,0.0026858626808125728
HCC22-088-P5-S1,CD3E,B_cells,0.014268697881199971
HCC22-088-P5-S1,CD3E,myeloid,-0.02072888335214585
HCC22-088-P5-S1,CD3E,fibroblast,-0.09204133499257461
HCC22-088-P5-S1,CD3E,endothelial,-0.016479754915831098
HCC22-088-P5-S1,CD3E,epithelial_tumour,0.14996260733118746
HCC22-088-P5-S2,CD3E,T_cells,-0.0015187072142925024
HCC22-088-P5-S2,CD3E,B_cells,0.0036371746729259302
HCC22-088-P5-S2,CD3E,myeloid,0.011443548315385861
HCC22-088-P5-S2,CD3E,fibroblast,-0.07959680105427136
HCC22-088-P5-S2,CD3E,endothelial,-0.0023285512062361027
HCC22-088-P5-S2,CD3E,epithelial_tumour,0.09023797613725847
HCC22-088-P6-S1,CD3E,T_cells,0.0029885034773616736
HCC22-088-P6-S1,CD3E,B_cells,0.0003192481486139903
HCC22-088-P6-S1,CD3E,myeloid,0.03518675086561795
HCC22-088-P6-S1,CD3E,fibroblast,-0.04349465968145938
HCC22-088-P6-S1,CD3E,endothelial,-0.008132177677442634
HCC22-088-P6-S1,CD3E,epithelial_tumour,0.017677789412762865
HCC22-088-P6-S2_D,CD3E,T_cells,0.0032447119929508365
