patient,metric,strategy,delta,rep
P1,frac_Tumour,full,0.12710626233047534,
P1,frac_Immune,full,0.01363921184221955,
P1,score_Estrogen_response,full,0.3241383195863239,
P1,score_Proliferation,full,-0.003071130872379712,
P1,score_T_cell_activity,full,-0.004984286781074224,
P1,score_Myeloid_inflammation,full,-0.1508685747480546,
P1,tumour_immune_contact,full,0.03638126139987344,
P1,frac_Tumour,random,0.12048192771084339,0.0
P1,frac_Immune,random,0.0,0.0
P1,score_Estrogen_response,random,0.3407197130179803,0.0
P1,score_Proliferation,random,-0.00883700125551526,0.0
P1,score_T_cell_activity,random,-0.006067284004097005,0.0
P1,score_Myeloid_inflammation,random,-0.15998477282097676,0.0
P1,tumour_immune_contact,random,-0.10993975903614459,0.0
P1,frac_Tumour,random,0.11897590361445783,1.0
P1,frac_Immune,random,0.003012048192771087,1.0
P1,score_Estrogen_response,random,0.3117998637800976,1.0
P1,score_Proliferation,random,-0.010684377759085078,1.0
P1,score_T_cell_activity,random,-0.002586232000984341,1.0
P1,score_Myeloid_inflammation,random,-0.13386019606188118,1.0
P1,tumour_immune_contact,random,-0.10542168674698796,1.0
P1,frac_Tumour,random,0.12801204819277107,2.0
P1,frac_Immune,random,0.00150602409638554,2.0
P1,score_Estrogen_response,random,0.319305922814592,2.0
P1,score_Proliferation,random,-0.001411167579628002,2.0
P1,score_T_cell_activity,random,-0.005121917518686099,2.0
P1,score_Myeloid_inflammation,random,-0.14930456790109167,2.0
P1,tumour_immune_contact,random,-0.1069277108433735,2.0
P1,frac_Tumour,random,0.10843373493975904,3.0
P1,frac_Immune,random,0.01957831325301205,3.0
P1,score_Estrogen_response,random,0.3199445203300809,3.0
P1,score_Proliferation,random,0.0003046994298940239,3.0
P1,score_T_cell_activity,random,-0.0003399398662598729,3.0
P1,score_Myeloid_inflammation,random,-0.15548481553639068,3.0
P1,tumour_immune_contact,random,-0.08584337349397592,3.0
P1,frac_Tumour,random,0.13704819277108432,4.0
P1,frac_Immune,random,0.021084337349397596,4.0
P1,score_Estrogen_response,random,0.33986859667162306,4.0
P1,score_Proliferation,random,-0.008167174849921115,4.0
P1,score_T_cell_activity,random,-0.002790496235272013,4.0
P1,score_Myeloid_inflammation,random,-0.16216885671002454,4.0
P1,tumour_immune_contact,random,-0.09789156626506025,4.0
P1,frac_Tumour,random,0.11295180722891567,5.0
P1,frac_Immune,random,0.027108433734939756,5.0
P1,score_Estrogen_response,random,0.3311934071881295,5.0
P1,score_Proliferation,random,-0.015361563844081653,5.0
P1,score_T_cell_activity,random,-0.002706356212795978,5.0
P1,score_Myeloid_inflammation,random,-0.15006859764063488,5.0
P1,tumour_immune_contact,random,-0.08433734939759037,5.0
P1,frac_Tumour,random,0.1310240963855422,6.0
P1,frac_Immune,random,0.01957831325301205,6.0
P1,score_Estrogen_response,random,0.31702418906150687,6.0
P1,score_Proliferation,random,-0.013316343936216406,6.0
P1,score_T_cell_activity,random,-0.0022334829000344716,6.0
P1,score_Myeloid_inflammation,random,-0.15098580517067145,6.0
P1,tumour_immune_contact,random,-0.10843373493975905,6.0
P1,frac_Tumour,random,0.12048192771084339,7.0
P1,frac_Immune,random,0.010542168674698794,7.0
P1,score_Estrogen_response,random,0.3069030531743714,7.0
P1,score_Proliferation,random,-0.005756273710301429,7.0
P1,score_T_cell_activity,random,0.0014125498249588247,7.0
P1,score_Myeloid_inflammation,random,-0.1261776613547962,7.0
P1,tumour_immune_contact,random,-0.0993975903614458,7.0
P1,frac_Tumour,random,0.11295180722891567,8.0
P1,frac_Immune,random,0.010542168674698794,8.0
P1,score_Estrogen_response,random,0.3122963215719323,8.0
P1,score_Proliferation,random,-0.010322485939415942,8.0
P1,score_T_cell_activity,random,-0.0015605641865586652,8.0
P1,score_Myeloid_inflammation,random,-0.1329263951744386,8.0
P1,tumour_immune_contact,random,-0.11144578313253013,8.0
P1,frac_Tumour,random,0.11295180722891567,9.0
P1,frac_Immune,random,0.018072289156626502,9.0
P1,score_Estrogen_response,random,0.3341501426785518,9.0
P1,score_Proliferation,random,-0.007355888576238373,9.0
P1,score_T_cell_activity,random,-0.0032149603418916103,9.0
P1,score_Myeloid_inflammation,random,-0.15898702631881367,9.0
P1,tumour_immune_contact,random,-0.09789156626506025,9.0
P1,frac_Tumour,random,0.12349397590361445,10.0
P1,frac_Immune,random,0.01957831325301205,10.0
P1,score_Estrogen_response,random,0.3259524399131519,10.0
P1,score_Proliferation,random,-0.01620161718419526,10.0
P1,score_T_cell_activity,random,-0.004583847615015076,10.0
P1,score_Myeloid_inflammation,random,-0.1479933874309063,10.0
P1,tumour_immune_contact,random,-0.10090361445783133,10.0
P1,frac_Tumour,random,0.12801204819277107,11.0
P1,frac_Immune,random,0.018072289156626502,11.0
P1,score_Estrogen_response,random,0.33774787311119436,11.0
P1,score_Proliferation,random,-0.00019563533114598237,11.0
P1,score_T_cell_activity,random,-0.003659880823100427,11.0
P1,score_Myeloid_inflammation,random,-0.14992084397933841,11.0
P1,tumour_immune_contact,random,-0.08132530120481929,11.0
P1,frac_Tumour,random,0.1430722891566265,12.0
P1,frac_Immune,random,0.010542168674698794,12.0
P1,score_Estrogen_response,random,0.3141370280982403,12.0
P1,score_Proliferation,random,-0.006705088289889081,12.0
P1,score_T_cell_activity,random,-0.005867036185649983,12.0
P1,score_Myeloid_inflammation,random,-0.14911943442662146,12.0
P1,tumour_immune_contact,random,-0.1069277108433735,12.0
P1,frac_Tumour,random,0.11596385542168676,13.0
P1,frac_Immune,random,0.025602409638554223,13.0
P1,score_Estrogen_response,random,0.317987161042141,13.0
P1,score_Proliferation,random,-0.013088360445553464,13.0
P1,score_T_cell_activity,random,-0.006478012692736812,13.0
P1,score_Myeloid_inflammation,random,-0.16778696129232112,13.0
P1,tumour_immune_contact,random,-0.0963855421686747,13.0
P1,frac_Tumour,random,0.1506024096385542,14.0
P1,frac_Immune,random,0.018072289156626502,14.0
P1,score_Estrogen_response,random,0.33060803174575104,14.0
P1,score_Proliferation,random,-0.012993618968131037,14.0
P1,score_T_cell_activity,random,-0.0045220022512726995,14.0
P1,score_Myeloid_inflammation,random,-0.1455937699041726,14.0
P1,tumour_immune_contact,random,-0.088855421686747,14.0
P1,frac_Tumour,random,0.13403614457831325,15.0
P1,frac_Immune,random,0.015060240963855422,15.0
P1,score_Estrogen_response,random,0.30838401134278537,15.0
P1,score_Proliferation,random,-0.025193507082946716,15.0
P1,score_T_cell_activity,random,-0.00893222921422447,15.0
P1,score_Myeloid_inflammation,random,-0.14865348166165784,15.0
P1,tumour_immune_contact,random,-0.0963855421686747,15.0
P1,frac_Tumour,random,0.125,16.0
P1,frac_Immune,random,0.012048192771084341,16.0
P1,score_Estrogen_response,random,0.3308465991646834,16.0
P1,score_Proliferation,random,-0.007778255289369926,16.0
P1,score_T_cell_activity,random,-0.00046990707187528034,16.0
P1,score_Myeloid_inflammation,random,-0.14449541170682223,16.0
P1,tumour_immune_contact,random,-0.11445783132530121,16.0
P1,frac_Tumour,random,0.12650602409638556,17.0
P1,frac_Immune,random,0.007530120481927714,17.0
P1,score_Estrogen_response,random,0.32373071982538615,17.0
P1,score_Proliferation,random,0.003062768967434737,17.0
P1,score_T_cell_activity,random,-0.00563571920470301,17.0
P1,score_Myeloid_inflammation,random,-0.15711835542690525,17.0
P1,tumour_immune_contact,random,-0.09487951807228917,17.0
P1,frac_Tumour,random,0.14608433734939757,18.0
P1,frac_Immune,random,0.009036144578313261,18.0
P1,score_Estrogen_response,random,0.31871383106495454,18.0
P1,score_Proliferation,random,-0.009847814170413954,18.0
P1,score_T_cell_activity,random,-0.010383378605765988,18.0
P1,score_Myeloid_inflammation,random,-0.1678191586873241,18.0
P1,tumour_immune_contact,random,-0.10391566265060243,18.0
P1,frac_Tumour,random,0.11746987951807229,19.0
P1,frac_Immune,random,0.013554216867469888,19.0
P1,score_Estrogen_response,random,0.3280322972477395,19.0
P1,score_Proliferation,random,0.005280991522953898,19.0
P1,score_T_cell_activity,random,-0.008532811599742457,19.0
P1,score_Myeloid_inflammation,random,-0.1283049841416648,19.0
P1,tumour_immune_contact,random,-0.088855421686747,19.0
P1,frac_Tumour,random,0.1325301204819277,20.0
P1,frac_Immune,random,0.01656626506024097,20.0
P1,score_Estrogen_response,random,0.32978517998919865,20.0
P1,score_Proliferation,random,-0.006210597310824671,20.0
P1,score_T_cell_activity,random,-0.00914789336093937,20.0
P1,score_Myeloid_inflammation,random,-0.16574401876807418,20.0
P1,tumour_immune_contact,random,-0.10542168674698796,20.0
P1,frac_Tumour,random,0.1325301204819277,21.0
P1,frac_Immune,random,0.03012048192771085,21.0
P1,score_Estrogen_response,random,0.33220052116996523,21.0
P1,score_Proliferation,random,-0.012506788587748424,21.0
P1,score_T_cell_activity,random,-0.00033168207851040307,21.0
P1,score_Myeloid_inflammation,random,-0.16006554416025498,21.0
P1,tumour_immune_contact,random,-0.08283132530120482,21.0
P1,frac_Tumour,random,0.11144578313253013,22.0
P1,frac_Immune,random,0.004518072289156634,22.0
P1,score_Estrogen_response,random,0.3274170191722273,22.0
P1,score_Proliferation,random,-0.01549186732717301,22.0
P1,score_T_cell_activity,random,-0.0026755288222946806,22.0
P1,score_Myeloid_inflammation,random,-0.14809023586895295,22.0
P1,tumour_immune_contact,random,-0.0993975903614458,22.0
P1,frac_Tumour,random,0.16415662650602408,23.0
P1,frac_Immune,random,0.012048192771084341,23.0
P1,score_Estrogen_response,random,0.3471300467291023,23.0
P1,score_Proliferation,random,0.003887443820890714,23.0
P1,score_T_cell_activity,random,-0.0094323879454629,23.0
P1,score_Myeloid_inflammation,random,-0.18586409618209232,23.0
P1,tumour_immune_contact,random,-0.088855421686747,23.0
P1,frac_Tumour,random,0.13855421686746988,24.0
P1,frac_Immune,random,0.00150602409638554,24.0
P1,score_Estrogen_response,random,0.31384825160447993,24.0
P1,score_Proliferation,random,0.020440769159093604,24.0
P1,score_T_cell_activity,random,-0.007998173503930789,24.0
P1,score_Myeloid_inflammation,random,-0.13461370847884158,24.0
P1,tumour_immune_contact,random,-0.1069277108433735,24.0
P1,frac_Tumour,random,0.125,25.0
P1,frac_Immune,random,0.025602409638554223,25.0
P1,score_Estrogen_response,random,0.3404694839073614,25.0
P1,score_Proliferation,random,0.005453708142324798,25.0
P1,score_T_cell_activity,random,-0.015308802931962243,25.0
P1,score_Myeloid_inflammation,random,-0.17728899320428287,25.0
P1,tumour_immune_contact,random,-0.0963855421686747,25.0
P1,frac_Tumour,random,0.10993975903614457,26.0
P1,frac_Immune,random,0.03162650602409638,26.0
P1,score_Estrogen_response,random,0.30702693451042407,26.0
P1,score_Proliferation,random,0.0017233609815605856,26.0
P1,score_T_cell_activity,random,-0.005600128157550548,26.0
P1,score_Myeloid_inflammation,random,-0.11790234791295526,26.0
P1,tumour_immune_contact,random,-0.07379518072289158,26.0
P1,frac_Tumour,random,0.12801204819277107,27.0
P1,frac_Immune,random,0.010542168674698794,27.0
P1,score_Estrogen_response,random,0.3258920910003661,27.0
P1,score_Proliferation,random,0.008098088488058453,27.0
P1,score_T_cell_activity,random,-0.0073697844761681855,27.0
P1,score_Myeloid_inflammation,random,-0.14611765903983384,27.0
P1,tumour_immune_contact,random,-0.11897590361445784,27.0
P1,frac_Tumour,random,0.12349397590361445,28.0
P1,frac_Immune,random,0.0,28.0
P1,score_Estrogen_response,random,0.3066577740682467,28.0
P1,score_Proliferation,random,-0.01989578313627102,28.0
P1,score_T_cell_activity,random,-0.012736370074880649,28.0
P1,score_Myeloid_inflammation,random,-0.13757085733863722,28.0
P1,tumour_immune_contact,random,-0.10240963855421688,28.0
P1,frac_Tumour,random,0.13704819277108432,29.0
P1,frac_Immune,random,0.012048192771084341,29.0
P1,score_Estrogen_response,random,0.3254575074503254,29.0
P1,score_Proliferation,random,-0.0013823596348640627,29.0
P1,score_T_cell_activity,random,-0.006822894227971513,29.0
P1,score_Myeloid_inflammation,random,-0.14087935237623259,29.0
P1,tumour_immune_contact,random,-0.10542168674698796,29.0
P1,frac_Tumour,random,0.12650602409638556,30.0
P1,frac_Immune,random,0.009036144578313261,30.0
P1,score_Estrogen_response,random,0.3213846283637557,30.0
P1,score_Proliferation,random,0.0025716452542433785,30.0
P1,score_T_cell_activity,random,-0.0014520626073501195,30.0
P1,score_Myeloid_inflammation,random,-0.14099405194236775,30.0
P1,tumour_immune_contact,random,-0.10843373493975905,30.0
P1,frac_Tumour,random,0.1069277108433735,31.0
P1,frac_Immune,random,0.007530120481927714,31.0
P1,score_Estrogen_response,random,0.3181678692067319,31.0
P1,score_Proliferation,random,-0.0068779591480308344,31.0
P1,score_T_cell_activity,random,-0.0018289395026174415,31.0
P1,score_Myeloid_inflammation,random,-0.12579769245686026,31.0
P1,tumour_immune_contact,random,-0.10542168674698796,31.0
P1,frac_Tumour,random,0.12951807228915663,32.0
P1,frac_Immune,random,0.010542168674698794,32.0
P1,score_Estrogen_response,random,0.3112479035707244,32.0
P1,score_Proliferation,random,0.009528607634959708,32.0
P1,score_T_cell_activity,random,-0.007284024649595161,32.0
P1,score_Myeloid_inflammation,random,-0.15564129271925486,32.0
P1,tumour_immune_contact,random,-0.09789156626506025,32.0
P1,frac_Tumour,random,0.13403614457831325,33.0
P1,frac_Immune,random,0.010542168674698794,33.0
P1,score_Estrogen_response,random,0.32768584115544386,33.0
P1,score_Proliferation,random,0.00148829828769368,33.0
P1,score_T_cell_activity,random,-0.005660980086130311,33.0
P1,score_Myeloid_inflammation,random,-0.16060446256845418,33.0
P1,tumour_immune_contact,random,-0.10090361445783133,33.0
P1,frac_Tumour,random,0.15813253012048195,34.0
P1,frac_Immune,random,0.012048192771084341,34.0
P1,score_Estrogen_response,random,0.33374880652382277,34.0
P1,score_Proliferation,random,-0.018294780973813155,34.0
P1,score_T_cell_activity,random,-0.00569775461396539,34.0
P1,score_Myeloid_inflammation,random,-0.14240343204463818,34.0
P1,tumour_immune_contact,random,-0.10391566265060243,34.0
P1,frac_Tumour,random,0.13554216867469882,35.0
P1,frac_Immune,random,0.010542168674698794,35.0
P1,score_Estrogen_response,random,0.31671319953826726,35.0
P1,score_Proliferation,random,0.00040191301478929636,35.0
P1,score_T_cell_activity,random,-0.006185330182074542,35.0
P1,score_Myeloid_inflammation,random,-0.13697594565645552,35.0
P1,tumour_immune_contact,random,-0.088855421686747,35.0
P1,frac_Tumour,random,0.12048192771084339,36.0
P1,frac_Immune,random,0.02259036144578313,36.0
P1,score_Estrogen_response,random,0.32011644500486347,36.0
P1,score_Proliferation,random,-0.01724611217226225,36.0
P1,score_T_cell_activity,random,-0.0008381896697014697,36.0
P1,score_Myeloid_inflammation,random,-0.13452085386540652,36.0
P1,tumour_immune_contact,random,-0.08584337349397592,36.0
P1,frac_Tumour,random,0.13403614457831325,37.0
P1,frac_Immune,random,0.0,37.0
P1,score_Estrogen_response,random,0.32522989411178516,37.0
P1,score_Proliferation,random,0.0037395387623905567,37.0
P1,score_T_cell_activity,random,-0.008157709365568484,37.0
P1,score_Myeloid_inflammation,random,-0.16015059285229194,37.0
P1,tumour_immune_contact,random,-0.12048192771084339,37.0
P1,frac_Tumour,random,0.10993975903614457,38.0
P1,frac_Immune,random,0.028614457831325303,38.0
P1,score_Estrogen_response,random,0.3174249917843889,38.0
P1,score_Proliferation,random,-0.005488370408240992,38.0
P1,score_T_cell_activity,random,0.0024768535546868683,38.0
P1,score_Myeloid_inflammation,random,-0.12836861517927936,38.0
P1,tumour_immune_contact,random,-0.10391566265060243,38.0
P1,frac_Tumour,random,0.14156626506024095,39.0
P1,frac_Immune,random,0.006024096385542167,39.0
P1,score_Estrogen_response,random,0.34137395693784267,39.0
P1,score_Proliferation,random,0.0035426766080676837,39.0
P1,score_T_cell_activity,random,-0.011906359177217427,39.0
P1,score_Myeloid_inflammation,random,-0.15940320321252407,39.0
P1,tumour_immune_contact,random,-0.10843373493975905,39.0
P1,frac_Tumour,random,0.11596385542168676,40.0
P1,frac_Immune,random,0.009036144578313261,40.0
P1,score_Estrogen_response,random,0.331341336361607,40.0
P1,score_Proliferation,random,-0.0028829870502627055,40.0
P1,score_T_cell_activity,random,-0.002688782253119361,40.0
P1,score_Myeloid_inflammation,random,-0.1561115641273853,40.0
P1,tumour_immune_contact,random,-0.09789156626506025,40.0
P1,frac_Tumour,random,0.12951807228915663,41.0
P1,frac_Immune,random,0.024096385542168676,41.0
P1,score_Estrogen_response,random,0.33541552153338716,41.0
P1,score_Proliferation,random,0.004733864375377724,41.0
P1,score_T_cell_activity,random,-0.00545851314552577,41.0
P1,score_Myeloid_inflammation,random,-0.17484998071545918,41.0
P1,tumour_immune_contact,random,-0.09487951807228917,41.0
P1,frac_Tumour,random,0.14759036144578314,42.0
P1,frac_Immune,random,0.0,42.0
P1,score_Estrogen_response,random,0.3238138911684182,42.0
P1,score_Proliferation,random,0.004452549835191772,42.0
P1,score_T_cell_activity,random,-0.007009076453954818,42.0
P1,score_Myeloid_inflammation,random,-0.15549293586220195,42.0
P1,tumour_immune_contact,random,-0.11596385542168676,42.0
P1,frac_Tumour,random,0.1506024096385542,43.0
P1,frac_Immune,random,0.007530120481927714,43.0
P1,score_Estrogen_response,random,0.33344579410753195,43.0
P1,score_Proliferation,random,0.019324126154588107,43.0
P1,score_T_cell_activity,random,-0.005608408402427134,43.0
P1,score_Myeloid_inflammation,random,-0.15648575636551287,43.0
P1,tumour_immune_contact,random,-0.10090361445783133,43.0
P1,frac_Tumour,random,0.14156626506024095,44.0
P1,frac_Immune,random,0.010542168674698794,44.0
P1,score_Estrogen_response,random,0.31956899239774295,44.0
P1,score_Proliferation,random,0.008319898989379461,44.0
P1,score_T_cell_activity,random,-0.00811935651858887,44.0
P1,score_Myeloid_inflammation,random,-0.17017105899362198,44.0
P1,tumour_immune_contact,random,-0.0963855421686747,44.0
P1,frac_Tumour,random,0.13403614457831325,45.0
P1,frac_Immune,random,0.025602409638554223,45.0
P1,score_Estrogen_response,random,0.32894051800425905,45.0
P1,score_Proliferation,random,0.014404544840342894,45.0
P1,score_T_cell_activity,random,-0.007503759811680959,45.0
P1,score_Myeloid_inflammation,random,-0.17438622443047117,45.0
P1,tumour_immune_contact,random,-0.08132530120481929,45.0
P1,frac_Tumour,random,0.15361445783132532,46.0
P1,frac_Immune,random,0.01957831325301205,46.0
P1,score_Estrogen_response,random,0.33788072296413274,46.0
P1,score_Proliferation,random,-0.009442440490199029,46.0
P1,score_T_cell_activity,random,-0.00866160450845837,46.0
P1,score_Myeloid_inflammation,random,-0.18089684452226773,46.0
P1,tumour_immune_contact,random,-0.09036144578313254,46.0
P1,frac_Tumour,random,0.15361445783132532,47.0
P1,frac_Immune,random,0.003012048192771087,47.0
P1,score_Estrogen_response,random,0.3341928751604619,47.0
P1,score_Proliferation,random,0.0016412592237735834,47.0
P1,score_T_cell_activity,random,-0.004966728251083308,47.0
P1,score_Myeloid_inflammation,random,-0.1520992486908972,47.0
P1,tumour_immune_contact,random,-0.10542168674698796,47.0
P1,frac_Tumour,random,0.13403614457831325,48.0
P1,frac_Immune,random,0.01957831325301205,48.0
P1,score_Estrogen_response,random,0.3447265912516041,48.0
P1,score_Proliferation,random,-0.0024131602371469238,48.0
P1,score_T_cell_activity,random,2.946152810351507e-05,48.0
P1,score_Myeloid_inflammation,random,-0.1660256237567018,48.0
P1,tumour_immune_contact,random,-0.09186746987951808,48.0
P1,frac_Tumour,random,0.12951807228915663,49.0
P1,frac_Immune,random,0.015060240963855422,49.0
P1,score_Estrogen_response,random,0.34139795203862533,49.0
P1,score_Proliferation,random,0.010048073146386437,49.0
P1,score_T_cell_activity,random,-0.009832682223923235,49.0
P1,score_Myeloid_inflammation,random,-0.15862895723301926,49.0
P1,tumour_immune_contact,random,-0.09487951807228917,49.0
P1,frac_Tumour,random,0.10090361445783132,50.0
P1,frac_Immune,random,0.018072289156626502,50.0
P1,score_Estrogen_response,random,0.3238201904713641,50.0
P1,score_Proliferation,random,-0.014996324216678654,50.0
P1,score_T_cell_activity,random,-0.00887147585880086,50.0
P1,score_Myeloid_inflammation,random,-0.1653733980527433,50.0
P1,tumour_immune_contact,random,-0.07680722891566266,50.0
P1,frac_Tumour,random,0.12951807228915663,51.0
P1,frac_Immune,random,0.021084337349397596,51.0
P1,score_Estrogen_response,random,0.316097576114447,51.0
P1,score_Proliferation,random,-0.009465102757206445,51.0
P1,score_T_cell_activity,random,-0.0009980968704305026,51.0
P1,score_Myeloid_inflammation,random,-0.15142163213759197,51.0
P1,tumour_immune_contact,random,-0.09487951807228917,51.0
P1,frac_Tumour,random,0.125,52.0
P1,frac_Immune,random,0.003012048192771087,52.0
P1,score_Estrogen_response,random,0.3232767493839873,52.0
P1,score_Proliferation,random,-0.0027022937458254953,52.0
P1,score_T_cell_activity,random,-0.0025897672332553996,52.0
P1,score_Myeloid_inflammation,random,-0.1280563808083363,52.0
P1,tumour_immune_contact,random,-0.09337349397590362,52.0
P1,frac_Tumour,random,0.12951807228915663,53.0
P1,frac_Immune,random,0.010542168674698794,53.0
P1,score_Estrogen_response,random,0.32329029060630043,53.0
P1,score_Proliferation,random,-0.0024875499339992446,53.0
P1,score_T_cell_activity,random,-0.003601412257157177,53.0
P1,score_Myeloid_inflammation,random,-0.16104687048830796,53.0
P1,tumour_immune_contact,random,-0.09789156626506025,53.0
P1,frac_Tumour,random,0.11897590361445783,54.0
P1,frac_Immune,random,0.015060240963855422,54.0
P1,score_Estrogen_response,random,0.34048773291963996,54.0
P1,score_Proliferation,random,0.006908224151622127,54.0
P1,score_T_cell_activity,random,-0.009347214384371019,54.0
P1,score_Myeloid_inflammation,random,-0.15200164385614418,54.0
P1,tumour_immune_contact,random,-0.10391566265060243,54.0
P1,frac_Tumour,random,0.11897590361445783,55.0
P1,frac_Immune,random,0.009036144578313261,55.0
P1,score_Estrogen_response,random,0.3222947788005516,55.0
P1,score_Proliferation,random,-0.02013611214326868,55.0
P1,score_T_cell_activity,random,-0.007257418092774101,55.0
P1,score_Myeloid_inflammation,random,-0.1574266527440961,55.0
P1,tumour_immune_contact,random,-0.09487951807228917,55.0
P1,frac_Tumour,random,0.12198795180722892,56.0
P1,frac_Immune,random,0.01957831325301205,56.0
P1,score_Estrogen_response,random,0.32801710893231184,56.0
P1,score_Proliferation,random,-0.009414468173094272,56.0
P1,score_T_cell_activity,random,-0.004297300342634977,56.0
P1,score_Myeloid_inflammation,random,-0.16482337929620458,56.0
P1,tumour_immune_contact,random,-0.09789156626506025,56.0
P1,frac_Tumour,random,0.12048192771084339,57.0
P1,frac_Immune,random,0.004518072289156634,57.0
P1,score_Estrogen_response,random,0.3192599576473597,57.0
P1,score_Proliferation,random,0.0016579604969001755,57.0
P1,score_T_cell_activity,random,-0.003574615640154325,57.0
P1,score_Myeloid_inflammation,random,-0.15820067135017626,57.0
P1,tumour_immune_contact,random,-0.0963855421686747,57.0
P1,frac_Tumour,random,0.12951807228915663,58.0
P1,frac_Immune,random,0.010542168674698794,58.0
P1,score_Estrogen_response,random,0.32886970878202415,58.0
P1,score_Proliferation,random,-0.0068332135441725225,58.0
P1,score_T_cell_activity,random,-0.006973862932508729,58.0
P1,score_Myeloid_inflammation,random,-0.15514358837176723,58.0
P1,tumour_immune_contact,random,-0.10240963855421688,58.0
P1,frac_Tumour,random,0.09638554216867469,59.0
P1,frac_Immune,random,0.015060240963855422,59.0
P1,score_Estrogen_response,random,0.31746037177212516,59.0
P1,score_Proliferation,random,0.009488152556108012,59.0
P1,score_T_cell_activity,random,0.0024140516651203355,59.0
P1,score_Myeloid_inflammation,random,-0.12545792205753983,59.0
P1,tumour_immune_contact,random,-0.10391566265060243,59.0
P1,frac_Tumour,random,0.13403614457831325,60.0
P1,frac_Immune,random,0.03012048192771085,60.0
P1,score_Estrogen_response,random,0.3358976883005884,60.0
P1,score_Proliferation,random,0.0031515920173794797,60.0
P1,score_T_cell_activity,random,-0.007235726394447455,60.0
P1,score_Myeloid_inflammation,random,-0.1927948351185587,60.0
P1,tumour_immune_contact,random,-0.08433734939759037,60.0
P1,frac_Tumour,random,0.10843373493975904,61.0
P1,frac_Immune,random,0.01957831325301205,61.0
P1,score_Estrogen_response,random,0.31231551835181426,61.0
P1,score_Proliferation,random,-0.0054209806937267424,61.0
P1,score_T_cell_activity,random,-0.0001395808335049563,61.0
P1,score_Myeloid_inflammation,random,-0.12308460022191924,61.0
