metric,strategy,full_mean_delta,sub_median_delta,sub_ci_lo,sub_ci_hi,sign_stability_gt0,full_in_ci
frac_Tumour,random,0.07001801012747332,0.13130152187698163,-0.2965811965811966,0.2829550941574119,0.6666666666666666,1.0
frac_Tumour,contiguous,0.07001801012747332,0.07831325301204821,-0.2965811965811966,0.4766781411359725,0.6051282051282051,1.0
frac_Immune,random,-0.08777555053575588,-0.12405428086076804,-0.3162393162393162,0.29931972789115646,0.48833333333333334,1.0
frac_Immune,contiguous,-0.08777555053575588,-0.04216867469879518,-0.4098124098124098,0.46598639455782315,0.4581196581196581,1.0
score_Estrogen_response,random,-0.012431751763760037,-0.065965139336394,-0.39838359179917743,0.36283985881882963,0.5,1.0
score_Estrogen_response,contiguous,-0.012431751763760037,-0.022850612005206127,-0.4858667804412471,0.5517383570219452,0.48547008547008547,1.0
score_Proliferation,random,-0.0025565808757740316,-0.0013635172792751166,-0.02229551819327256,0.011763664756874102,0.3983333333333333,1.0
score_Proliferation,contiguous,-0.0025565808757740316,-0.0011431072384790633,-0.06290348430357363,0.058683931296828126,0.4512820512820513,1.0
score_T_cell_activity,random,-0.00025975662482730387,-0.00029709079568365456,-0.009658056737775785,0.00812053745549278,0.4775,1.0
score_T_cell_activity,contiguous,-0.00025975662482730387,-7.199356222797881e-05,-0.025558609943260292,0.027149048454680726,0.49230769230769234,1.0
score_Myeloid_inflammation,random,0.025616821280174572,0.002744516470090254,-0.16325772491148743,0.3163987397206594,0.5508333333333333,1.0
score_Myeloid_inflammation,contiguous,0.025616821280174572,0.003750957162252322,-0.3784978886610362,0.4476561040312948,0.535042735042735,1.0
tumour_immune_contact,random,-0.35277436473276297,-0.5012071463061323,-0.7994227994227994,-0.08283132530120482,0.0,1.0
tumour_immune_contact,contiguous,-0.35277436473276297,-0.42698768048840474,-0.8354978354978354,0.20719126506024094,0.20469798657718122,1.0
